iter	Logloss
0	0.687100901
1	0.6823848482
2	0.6775364752
3	0.6732680279
4	0.6685316539
5	0.6633569133
6	0.658214672
7	0.6534576714
8	0.6498138058
9	0.6463312236
10	0.6439706725
11	0.6397572039
12	0.6360733053
13	0.63141464
14	0.6286398813
15	0.6251796008
16	0.6205388104
17	0.6163456871
18	0.6121326834
19	0.6085087449
20	0.605201107
21	0.6011929316
22	0.5975458484
23	0.5949216331
24	0.5915188784
25	0.5880214399
26	0.5851424454
27	0.5817803573
28	0.5788141031
29	0.5755920865
30	0.5727467864
31	0.5691683862
32	0.5662571354
33	0.563292142
34	0.5605074405
35	0.5575713603
36	0.5549471192
37	0.5520364957
38	0.5487235975
39	0.5460623122
40	0.5436693263
41	0.5421930914
42	0.5388676718
43	0.536208479
44	0.5339261526
45	0.532158417
4646	0.5254709198
47	0.5232240407
48	0.5207383662
49	0.5188568926
50	0.5161558672
51	0.5141687607
52	0.5121029191
53	0.5098703583
54	0.5076511367
55	0.5054084413
56	0.5029791139
57	0.5014175468
58	0.499568424
59	0.4978334922
60	0.4958028369
61	0.4940726989
62	0.4923970187
63	0.4902397157
64	0.4883754533
65	0.486237027
66	0.4845235151
67	0.483268045
68	0.4818670464
69	0.4797877883
70	0.4785647966
71	0.4778401141
72	0.4768782661
73	0.4751504775
74	0.4740939465
75	0.4730228447
76	0.4712812161
77	0.4695357588
78	0.4681208002
79	0.4667258045
80	0.4653670563
81	0.4637778726
82	0.4624992487
83	0.4609959459
84	0.4596540798
85	0.4582771933
86	0.4566377284
87	0.4552504506
88	0.4538323867
89	0.4527920689
90	0.4512421531
91	0.4500660444
92	0.4491107127
93	0.4475244277
94	0.4464995	0.450760508
96	0.4497910944
97	0.4489993879
98	0.4498	0.4431452713
99	0.4419687796
100	0.4409406637
101	0.4399803216
102	0.4384559496
103	0.4373918318
104	0.4363254403
105	0.4353059033
106	0.4339249857
107	0.4335854334
108	0.4325424628
109	0.4316282462
110	0.4310539311
111	0.4303806553
112	0.4298108728
113	0.4287123292
114	0.428005425115	0.4362682461
116	0.4352247843
117	0.4344269338
118	0.4332159342
119	0.4324481524
120	0.4316518899
121	0.4308569251
122	0.4300720311
123	0.4291392378
124	0.4283113266
125	0.42756217
126	0.427091591
127	0.4264507056
128	0.4258708688
129	0.4252926949
130	0.4247964577
13131	0.4145260575
132	0.413890088
133	0.413141822
134	0.4126823792
135	0.4119724263
136	0.4114610855
137	0.4109124592
138	0.4099823439
139	0.4091922713
140	0.4083973117
141	0.407770465
142	0.4071732414
143	0.4066949789
144	0.4058505286
145	0.4055379401
146	0.4046859198
147	0.4038622841
148	0.4034836702
149	0.4029286477
150	0.4021142317
151	0.4015788896
152	0.401111798
153	0.4005026519
154	0.4000670618
155	0.3994345664
156	0.3987826918
157	0.3983640267
158	0.3976437518
159	0.3970305175
160	0.3965107746
161	0.3961376273
162	0.3956299352
163	0.3951075622
164	0.3944775108
165	0.3937442486
166	0.3935150618
167	0.3929686097
168	0.3921703489
169	0.3917807941
170	0.3912515891
171	0.3906356221
172	0.3901926469
173	0.3897330959
174	0.3893721874
175	0.3887894827
176	0.3884122516
177	0.3875027405
178	0.387095192
179	0.3868434435
180	0.386437271
181	0.3861546945
182	0.3856512552
183	0.3854497719
184	0.3849032227
185	0.3844618938
186	0.3839751758
187	0.38364861
188	0.3833483406
189	0.3832345604
190	0.3827633616
191	0.3825239545
192	0.3822081108
193	0.381826342
194	0.3816462993
195	0.3813412063
196	0.3808773183
197	0.3807579698
198	0.38042015
199	0.3801245674
200	0.3798484769
201	0.3792734477
202	0.3788371393
203	0.3783333334
204	0.3780393311
205	0.3775597734
206	0.3772267379
207	0.3770013399
208	0.3767278765
209	0.3766509554
210	0.3762758448
211	0.375779015
212	0.3756183849
213	0.375229082
214	0.3747175824
215	0.3744700178
216	0.3742453885
217	0.3739591728
218	0.3736978558
219	0.3732629673
220	0.3729639172
221	0.3725282162
222	0.3722835577
223	0.3719731268
224	0.3715948178
225	0.3711792126
226	0.370833365
227	0.3706563935
228	0.3701708143
229	0.3697937005
230	0.3694245949
231	0.3691624046
232	0.3689449092
233	0.3687689658
234	0.3684831853
235	0.3681162532
236	0.3677679374
237	0.3676219182
238	0.3673104924
239	0.3671995231
240	0.3669516364
241	0.3667607081
242	0.3666143976
243	0.3664228644
244	0.3661923601
245	0.3657531603
246	0.3654923431
247	0.3651450955
248	0.3649237406
249	0.3645464781
250	0.3642284586
251	0.3639405046
252	0.3637022363
253	0.3633022797
254	0.3630316371
255	0.3627390072
256	0.3625380787
257	0.3623212372
258	0.3620256508
259	0.3618924961
260	0.3616075514
261	0.361306509
262	0.3611473817
263	0.3608848125
264	0.3604043655
265	0.3600697601
266	0.3598603624
267	0.3596447538
268	0.3592144223
269	0.3588552956
270	0.3583984199
271	0.358293346
272	0.3580837361
273	0.3578697513
274	0.3575313358
275	0.3573248071
276	0.3571629782
277	0.356924062
278	0.356603536
279	0.3561149994
280	0.3559035125
281	0.355450284
282	0.3551937114
283	0.3550579786
284	0.3548405795
285	0.3546165254
286	0.3544048848
287	0.354290003
288	0.3539873248
289	0.353789727
290	0.3536365138
291	0.3534120186
292	0.3533208744
293	0.3531157933
294	0.3530019183
295	0.3527473581
296	0.3524296744
297	0.352255883
298	0.3521544513
299	0.351732909
300	0.35129452
301	0.3510788572
302	0.3508418612
303	0.3508274032
304	0.3507251523
305	0.3506265502
306	0.3505732361
307	0.3503309037
308	0.3501819962
309	0.3498738085
310	0.3497186827
311	0.3495293203
312	0.3494078631
313	0.3491025462
314	0.3488674842
315	0.3487471178
316	0.348548207
317	0.3481468465
318	0.3477369605
319	0.3474299055
320	0.3472383734
321	0.3472261931
322	0.3471412927
323	0.3469759618
324	0.3469137921
325	0.3467096716
326	0.3465308572
327	0.3464322469
328	0.3461461561
329	0.3460148044
330	0.3458353842
331	0.3457482085
332	0.3453787822
333	0.3452935871
334	0.3450703514
335	0.3446934906
336	0.3442050271
337	0.344003933
338	0.3438676463
339	0.3437024927
340	0.3436481478
341	0.3433100636
342	0.34315369
343	0.3429765741
344	0.3427378666
345	0.3425703854
346	0.3424519716
347	0.3422988654
348	0.3421387788
349	0.3418880482
350	0.350	0.3502581256
351	0.3501307493
352	0.3499187226
353	0.3498419821
354	0.3496521983
355	0.3495028598
356	0.3494018038
357	0.3491370096
358	0.3490599221
359	0.3489888389
360	0.3486152415
361	0.3484420997
362	0.3482651308
363	0.3481863366
364	0.3479825041
365	0.3478160968
366	0.3476829123
367	0.3475846357
368	0.3474126725
369	0.3473583942
370	0.3472826785
371	0.3470401576
372	0.3467993261
373	0.3466487869
374	0.3465180443
375	0.3463962234
376	0.3463431223
377	0.3460983338
378	0.3458533332
379	0.345594967
380	0.3452024302
381	0.3450496338
382	0.3447455643
383	0.3446191975
384	0.3445061785
385	0.3443573867
386	0.387	0.3349427782
388	0.3348688855
389	0.3347006918
390	0.3346325242
391	0.3345366496
392	0.3344078639
393	0.3342497651
394	0.3339070829
395	0.33395	0.3423687243
396	0.3423160016
397	0.3422704061
398	0.3420456874
399	0.3417169766
400	0.3414769149
401	0.3413612731
402	0.3412141827
403	0.3409759023
404	0.3408350318
405	0.340811349
406	0.3406444888
407	0.3405054921
408	0.3404903459
409	0.3404208999
410	0.3402639815
411	0.3401432975
412	0.3400948715
413	0.3397413607
414	0.33961314
415	0.3394883476
416	0.3394210643
417	0.3392380419
418	0.3391144529
419	0.3388836513
420	0.3385473516
421	0.3384294619
422	0.3379752281
423	0.3378207874
424	0.3376659941
425	0.3374722359
426	0.3373736449
427	0.337236891
428	0.3371144776
429	0.3368908562
430	0.3366495001
431	0.3365015937
432	0.3364276047
433	0.3361684357
434	0.3359762161
435	0.3359095747
436	0.3356810046
437	0.335587168
438	0.3354632059
439	0.335419568
440	0.3350629377
441	0.3350098731
442	0.334863441
443	0.3346942989
444	0.3345839767
445	0.3345438485
446	0.3342954662
447	0.3342226925
448	0.3339747673
449	0.3336551993
450	0.3334956755
451	0.3332469496
452	0.3330364933
453	0.3327984282
454	0.3326043483
455	0.3325026256
456	0.332121496
457	0.3318592093
458	0.3317648721
459	0460	0.323606460	0461	0.3234011743
462	0.3231938035
463	0.3231103895
464	0.3229948399
465	0.3228609522
466	0.3227056599
467	0.3224598344
468	0.3221785768
469	0.3220825553
470	0.3219868599
471	0.3216234712
472	0.3213909209
473	0.3212996905
474	0.3212078559
475	0.3210277707
476	0.3208961479
477	0.3207632101
478	0.3205847756
479	0.3204250815
480	0.3201989837
481	0.3199696598
482	0.3198400609
483	0.3197975634
484	0.3196408169
485	0.3194158739
486	0.3192584362
487	0.3190629641
488	0.3187231904
489	0.3186496953
490	0.3185104974
491	0.31834209
492	0.3181783261
493	0.3179983003
494	0.3179429108
495	0.3178088816
496	0.3176570951
497	0.3174920113
498	0.3173574106
499	0.3170886129
500	0.3169794986
501	0.316855264
502	0.3166398489
503	0.3165604898
504	0.3163455055
505	0.3162259309
506	0.31606766
507	0.3160453577
508	0.3159200841
509	0.3156870051
510	0.3156470921
511	0.3155562013
512	0.3153924351
513	0.3151321667
514	0.3150987981
515	0.3147685543
516	0.3146918469
517	0.314558166
518	0.3144341397
519	0.3143552219
520	0.3142546029
521	0.3139573122
522	0.3138944975
523	0.3138439827
524	0.3136324502
525	0.3134581852
526	0.3133799211
527	0.313177138
528	0.3131007352
529	0.3129875806
530	0.3129089796
531	0.3126838027
532	0.3125200102
533	0.3124125617
534	0.3122357429
535	0.3119652475
536	0.3119245652
537	0.31166801
538	0.31152673
539	0.3112736556
540	0.3111908488
541	0.3110359837
542	0.3108535283
543	0.3106143168
544	0.3104996076
545	0.3103127213
546	0.3100058126
547	0.3099033351
548	0.3098060602
549	0.309545091
550	0.3094453419
551	0.3094046637
552	0.3092991316
553	0.3092338904
554	0.3090403428
555	0.3089348046
556	0.30881881
557	0.3087115669
558	0.3084903036
559	0.3082031651
560	0.308067961
561	0.3079556916
562	0.3079054586
563	0.3078327764
564	0.3077113681
565	0.3077005918
566	0.307474163
567	0.3072615578
568	0.3071644983
569	0.3070330568
570	0.3069365287
571	0.3068310388
572	0.306693659
573	0.3065686879
574	0.3063190148
575	0.3060601434
576	0.3060067124
577	0.3057262996
578	0.30552357
579	0.3052680334
580	0.3051345826
581	0.3049852464
582	0.3046918144
583	0.3045898672
584	0.3044519885
585	0.3043843683
586	0.3043231711
587	0.3041085215
588	0.3040268075
589	0.3039160446
590	0.3038163521
591	0.303727869
592	0.3035703814
593	0.3035010222
594	0.3033326046
595	0.3032930333
596	0.3031879715
597	0.3030819695
598	0.302869696
599	0.3026872585
600	0.3024687879
601	0.3023480902
602	0.3021906526
603	0.3021220693
604	0.302110448
605	0.30191459
606	0.3018764904
607	0.3017822687
608	0.3017290913
609	0.3016669516
610	0.3015670507
611	0.3014821754
612	0.3014046737
613	0.3012920262
614	0.3012747417
615	0.3011880994
616	0.3011219035
617	0.3009460161
618	0.3008007482
619	0.3007221494
620	0.3005460771
621	0.3004870369
622	0.3002734375
623	0.300178542
624	0.3000948403
625	0.3000093597
626	0.2998982918
627	0.299792947
628	0.2995822871
629	0.2994182179
630	0.299168307
631	0.2989945242
632	0.2988856319
633	0.2987044046
634	0.2986327939
635	0.2984500921
636	0.2984193803
637	0.2983129339
638	0.2982848286
639	0.2980379582
640	0.2978652004
641	0.2977881952
642	0.2976550928
643	0.2975198648
644	0.2973600125
645	0.2972201397
646	0.2971694122
647	0.2971247009
648	0.2969589602
649	0.2969232668
650	0.2967308007
651	0.2966621163
652	0.2965600067
653	0.2964791147
654	0.2964571671
655	0.2962479551
656	0.2961655652
657	0.2958523209
658	0.2957833183
659	0.2956248987
660	0.2955569298
661	0.2952918564
662	0.2951869401
663	0.295108371
664	0.2949165908
665	0.2947252619
666	0.2946456948
667	0.2945691645
668	0.2944370137
669	0.2943546178
670	0.2941386295
671	0.2940086795
672	0.2938995925
673	0.2938154653
674	0.2937636122
675	0.2936424405
676	0.2934802588
677	0.2934113534
678	0.2933527204
679	0.2932216005
680	0.2931414081
681	0.2929573911
682	0.292880631
683	0.2927739764
684	0.2927501237
685	0.2926601946
686	0.292625757
687	0.2925883329
688	0.2925010487
689	0.2924005037
690	0.2922192378
691	0.2921317631
692	0.2918471541
693	0.2917296572
694	0.291601975
695	0.2915324788
696	0.2913905668
697	0.2912477641
698	0.2911744816
699	0.2911236313
700	0.2910715776
701	0.290928675
702	0.2908157842
703	0.2906992333
704	0.2906495646
705	0.2904691449
706	0.2903293631
707	0.2902614078
708	0.2902163864
709	0.290028796
710	0.2899830571
711	0.289763177
712	0.2896914565
713	0.2896205593
714	0.2895477196
715	0.2895102404
716	0.2893828474
717	0.2892669209
718	0.2891258701
719	0.2891071858
720	0.2890495543
721	0.2888195738
722	0.2887362206
723	0.2885826178
724	0.2883977929
725	0.2882700135
726	0.2882173741
727	0.2880357415
728	0.2879467889
729	0.2878795972
730	0.2877529285
731	0.2876057428
732	0.2875131945
733	0.2872993061
734	0.2871458422
735	0.2869961221
736	0.2868890912
737	0.2868103747
738	0.2866577943
