iter	Passed	Remaining
0	212	212498
1	230	114928
2	248	82629
3	256	63795
4	261	52078
5	270	44754
6	279	39581
7	285	35374
8	290	32004
9	297	29413
10	301	27098
11	308	25409
12	314	23894
13	325	22935
14	336	22096
15	344	21197
16	352	20364
17	371	20244
18	398	20578
19	407	19966
20	411	19176
21	414	18422
22	415	17670
23	417	16980
24	420	16391
25	425	15958
26	436	15722
27	445	15457
28	465	15602
29	480	15541
30	492	15398
31	493	14936
32	495	14506
33	496	14099
34	497	13715
35	498	13347
36	499	13002
37	500	12673
38	501	12360
39	502	12065
40	503	11777
41	504	11505
42	505	11248
43	506	11004
44	507	10772
45	508	105446	502	10183
47	516	10248
48	524	10182
49	539	10253
50	552	10272
51	562	10252
52	566	10128
53	574	10059
54	579	9950
55	580	9782
56	581	9620
57	582	9462
58	583	9310
59	584	9163
60	586	9022
61	587	8884
62	588	8751
63	589	8622
64	590	8499
65	592	8378
66	593	8260
67	594	8144
68	595	8032
69	596	7925
70	597	7819
71	600	7735
72	605	7688
73	614	7689
74	619	7636
75	626	7618
76	638	7654
77	639	7562
78	640	7471
79	641	7381
80	642	7293
81	643	7205
82	644	7122
83	645	7042
84	646	6964
85	647	6886
86	648	6809
87	649	6735
88	650	6662
89	653	6610
90	654	6540
91	655	6472
92	656	6406
93	658	6342
94	659	695	681	6420
96	690	6432
97	699	6437
98	798	699	6369
99	707	6368
100	713	6354
101	719	6335
102	727	6333
103	737	6353
104	740	6311
105	743	6270
106	744	6216
107	748	6178
108	755	6177
109	762	6172
110	113	774	6111	114	780	6112	115	800	6098
116	813	6139
117	817	6107
118	820	6077
119	825	6054
120	828	6017
121	836	6020
122	845	6026
123	852	6019
124	862	6039
125	874	6062
126	880	6049
127	888	6049
128	889	6004
129	890	5960
130	891	5915
131	892	5871
132	894	5828
133	895	5131	915	6021
132	925	6030
133	938	6062
134	137	987	6170
138	1000	6198
139	1002	6155
140	1003	6112
141	100139	1022	6278
140	1028	6264
141	1041	6295
142	1058	6342
143	1066	6340
144	1075	6340
145	1095	6405
146	1104	6406
147	1122	6464
148	1134	6476
149	1149	6511
150	1173	6595
151	1198	6688
152	1206	6676
153	1210	6647
154	1229	6701
155	1235	6682
156	1256	6745
157	1267	6753
158	1275	6747
159	1286	6756
160	1292	6733
161	1297	6712
162	1309	6723
163	1327	6766
164	1336	6763
165	1351	6790
166	1354	6758
167	1387	6871
168	1395	6863
169	1407	6870
170	1416	6864
171	1427	6870
172	1435	6860
173	1436	6819
174	1437	6777
175	1438	6736
176	1440	6695
177	1441	6655
178	1442	6615
179	1443	6574
180	1444	6534
181	1445	6495
182	1446	6456
183	1447	6418
184	1448	6380
185	1449	6342
186	1453	6319
187	1469	6348
188	1476	6334
189	1484	6327
190	1509	6395
191	1518	6388
192	1529	6397
193	1541	6405
194	1549	6396
195	1565	6420
196	1580	6442
197	1581	6405
198	1582	6370
199	1583	6335
200	1585	6301
201	1586	6266
202	1587	6232
203	1588	6198
204	1589	6165
205	1590	6132
206	1592	6099
207	1593	6066
208	1594	6034
209	1595	6000
210	1596	5968
211	1597	5937
212	1605	5932
213	1611	5920
214	1616	5901
215	1624	5896
216	1631	5887
217	1642	5891
218	1647	5875
219	1656	5872
220	1660	5852
221	1661	5823
222	1662	5793
223	1663	5763
224	1664	5734
225	1666	5705
226	1667	5677
227	1668	5648
228	1669	5620
229	1670	5592
230	1671	5565
231	1673	5538
232	1674	5511
233	1675	5484
234	1676	5457
235	1684	5451
236	1703	5484
237	1706	5465
238	1710	5444
239	1719	5444
240	1722	5424
241	1728	5415
242	1758	5476
243	1767	5476
244	1776	5475
245	1780	5455
246	1786	5444
247	1789	5425
248	1792	5407
249	1796	5388
250	1803	5381
251	1808	5368
252	1809	5343
253	1811	5319
254	1812	5295
255	1826	5307
256	1832	5297
257	1838	5288
258	1863	5330
259	1870	5323
260	1875	5309
261	1876	5285
262	1877	5261
263	1888	5265
264	1899	5268
265	1907	5262
266	1915	5257
267	1918	5239
268	1933	5255
269	1939	5242
270	1943	5227
271	1945	5207
272	1950	5193
273	1954	5179
274	1991	5251
275	1993	5228
276	1994	5204
277	1995	5181
278	1996	5158
279	1997	5136
280	1998	5113
281	1999	5091
282	2000	5068
283	2001	5046
284	2002	5023
285	2003	5001
286	2004	4979
287	2008	4965
288	2019	4967
289	2030	4970
290	2032	4952
291	2033	4931
292	2035	4910
293	2036	4890
294	2037	4869
295	2041	4854
296	2043	4837
297	2047	4822
298	2052	4813
299	2059	4805
300	2068	4804
301	2074	4794
302	2079	4784
303	2081	4766
304	2085	4751
305	2089	4739
306	2092	4723
307	2102	4724
308	2107	4713
309	2114	4705
310	2119	4694
311	2124	4683
312	2135	4687
313	2139	4674
314	2145	4666
315	2146	4646
316	2147	4627
317	2148	4608
318	2149	4589
319	2150	4569
320	2151	4551
321	2152	4531
322	2152	4512
323	2153	4493
324	2154	4474
325	2155	4456
326	2156	4438
327	2158	4421
328	2159	4404
329	2160	4386
330	2161	4368
331	2162	4351
332	2163	4333
333	2164	4316
334	2165	4298
335	2166	4281
336	2172	4274
337	2174	4258
338	2177	4246
339	2180	4232
340	2181	4216
341	2183	4200
342	2184	4184
343	2185	4168
344	2186	4152
345	2188	4136
346	2189	4119
347	219350	2247	4154
351	2248	4139
352	2250	4124
353	2251	4108
354	2252	4093
355	2253	4077
356	2255	4061
357	2256	4046
358	2257	4031
359	2258	4015
360	2260	4000
361	2261	3985
362	2262	3970
363	2263	3955
364	2269	3949
365	2276	3943
366	2285	3941
367	2286	3926
368	2287	3912
369	2289	3897
370	2290	3882
371	2291	3867
372	2292	3853
373	2293	3838
374	2294	3824
375	2295	3809
376	2296	3795
377	2297	3781
378	2299	3767
379	2300	3753
380	2301	3738
381	2302	3725
382	2303	3711
383	2304	3697
384	2306	3683
385	2307	3670
386	2308	3656
387	2309	3642
388	2325	3653
389	2345	3669
390	2349	3660
391	2364	3666
392	2372	3664
393	2382	3664
394	2390	3661
395	2425	3699
396	2432	3694
397	2433	3681
398	2438	3673
399	2463	3694
400	2473	3694
401	2482	3692
402	2491	3691
403	2506	3698
404	2522	3705
405	2530	3701
406	2541	3702
407	2550	3700
408	2556	3694
409	2564	3690
410	2569	3682
411	2584	3689
412	2586	3675
413	2587	3661
414	2588	3648
415	2589	3634
416	2590	3621
417	2591	3608
418	2625	3640
419	2626	3627
420	2628	3614
421	2629	3601
422	2630	3588
423	2631	3575
424	2632	3562
425	2634	3549
426	2635	3536
427	2636	3523
428	2637	3510
429	2638	3497
430	2639	3485
431	2641	3472
432	2642	3459
433	2651	3457
434	2660	3456
435	2682	3470
436	2691	3467
437	2699	3464
438	2712	3465
439	2722	3465
440	2729	3459
441	2737	3456
442	2764	3476
443	2776	3476
444	2785	3474
445	2793	3470
446	2795	3457
447	2796	3445
448	2797	3432
449	2798	3420
450	2799	3408
451	2801	3396
452	2802	3383
453	2803	3371
454	2804	3359
455	2806	3347
456	2807	3336
457	2816	3333
458	2818	3321
459	2819	3309
460	2820	3297
461	2821	3285
462	2822	3273
463	282461	2767	3222
462	2777	3221
463	2788	3220
464	2810	3233
465	2822	3233
466	2834	3234
467	2843	3231
468	2857	3235
469	2858	3223
470	2859	3211
471	2860	3199
472	2861	3188
473	2862	3176
474	2863	3164
475	2864	3153
476	2865	3141
477	2866	3130
478	2867	3118
479	2868	3107
480	2869	3096
481	2870	3084
482	2871	3073
483	2872	3062
484	2873	3051
485	2874	3040
486	2875	3029
487	2883	3025
488	2892	3022
489	2915	3034
490	2919	3026
491	2932	3027
492	2947	3031
493	2968	3040
494	2972	3032
495	2992	3040
